# id,beta
1,3.23801
2,3.23801
3,1.22745
4,1.22745
5,3.23801
6,3.23801
7,0.70186
8,1.09061
9,3.23801
10,3.23801
11,3.23801
12,3.23801
13,3.23801
14,1.22745
15,1.22745
16,1.22745
17,3.23801
18,3.23801
19,3.23801
20,3.23801
21,3.23801
22,3.23801
23,3.23801
24,3.23801
25,0.89044
26,0.89044
27,0.89044
28,0.89044
29,0.89044
30,0.89044
31,3.23801
32,3.23801
33,3.23801
34,3.23801
35,3.23801
36,3.23801
37,3.23801
38,3.23801
39,3.23801
40,0.64843
41,3.23801
42,3.23801
43,3.23801
44,3.23801
45,3.23801
46,0.68018
47,3.23801
48,3.23801
49,3.23801
50,3.23801
51,3.23801
52,3.23801
53,3.23801
54,3.23801
55,0.74329
56,0.74329
57,0.74329
58,3.23801
59,0.74329
60,0.74329
61,0.68018
62,0.68018
63,3.23801
64,3.23801
65,3.23801
66,3.23801
67,3.23801
68,1.22745
69,1.22745
70,1.22745
71,3.23801
72,3.23801
73,3.23801
74,3.23801
75,3.23801
76,3.23801
77,3.23801
78,3.23801
79,0.64843
80,3.23801
81,1.09061
82,3.23801
83,3.23801
84,3.23801
85,3.23801
86,3.23801
87,3.23801
88,3.23801
89,0.64843
90,0.64843
91,3.23801
92,3.23801
93,3.23801
94,3.23801
95,3.23801
96,3.23801
97,3.23801
98,3.23801
99,1.22745
100,1.22745
101,1.22745
102,3.23801
103,3.23801
104,1.22745
105,1.22745
106,1.01065
107,1.01065
108,1.01065
109,3.23801
110,3.23801
111,3.23801
112,3.23801
113,3.23801
114,3.23801
115,3.23801
116,3.23801
117,3.23801
118,3.23801
119,3.23801
120,3.23801
121,3.23801
122,3.23801
123,3.23801
124,3.23801
125,3.23801
126,3.23801
127,3.23801
128,3.23801
129,3.23801
130,3.23801
131,3.23801
132,3.23801
133,0.67079
134,3.23801
135,3.23801
136,3.23801
137,3.23801
138,3.23801
139,3.23801
140,3.23801
141,3.23801
142,3.23801
143,1.01065
144,1.01065
145,3.23801
146,3.23801
147,1.47149
148,0.63924
149,0.63924
150,0.63924
151,0.63924
152,3.23801
153,0.68018
154,0.68018
155,1.03711
156,1.03711
157,1.03711
158,1.03711
159,3.23801
160,3.23801
161,3.23801
162,3.23801
163,1.47149
164,1.47149
165,1.47149
166,1.47149
167,1.47149
168,1.03711
169,1.03711
170,1.03711
171,0.68018
172,0.68018
173,3.23801
174,3.23801
