# id,beta
1,0.74311
2,3.13335
3,3.13335
4,3.13335
5,3.13335
6,3.13335
7,3.13335
8,3.13335
9,1.12605
10,3.13335
11,3.13335
12,3.13335
13,3.13335
14,3.13335
15,3.13335
16,3.13335
17,3.13335
18,3.13335
19,3.13335
20,3.13335
21,3.13335
22,3.13335
23,3.13335
24,3.13335
25,3.13335
26,3.13335
27,3.13335
28,1.14864
29,1.14864
30,1.14864
31,1.14864
32,3.13335
33,3.13335
34,3.13335
35,3.13335
36,3.13335
37,3.13335
38,1.30618
39,1.30618
40,3.13335
41,3.13335
42,3.13335
43,3.13335
44,3.13335
45,3.13335
46,3.13335
47,3.13335
48,0.68676
49,0.68676
50,0.68676
51,3.13335
52,3.13335
53,3.13335
54,3.13335
55,3.13335
56,0.68676
57,0.68676
58,3.13335
59,3.13335
60,3.13335
61,3.13335
62,3.13335
63,3.13335
64,3.13335
65,3.13335
66,3.13335
67,3.13335
68,3.13335
69,3.13335
70,3.13335
71,0.70961
72,0.70961
73,3.13335
74,3.13335
75,3.13335
76,3.13335
77,3.13335
78,3.13335
79,3.13335
80,3.13335
81,3.13335
82,3.13335
83,3.13335
84,1.30618
85,3.13335
86,0.68757
87,3.13335
88,3.13335
89,3.13335
90,3.13335
91,3.13335
92,3.13335
93,3.13335
94,0.70853
95,3.13335
96,3.13335
97,3.13335
98,0.75321
99,1.12605
100,3.13335
101,3.13335
102,3.13335
103,3.13335
104,3.13335
105,3.13335
106,3.13335
107,3.13335
108,1.14542
109,1.14542
110,3.13335
111,3.13335
112,3.13335
113,3.13335
114,3.13335
115,3.13335
116,3.13335
117,3.13335
118,3.13335
119,3.13335
120,3.13335
121,3.13335
122,3.13335
123,3.13335
124,3.13335
125,3.13335
126,3.13335
127,3.13335
128,3.13335
129,3.13335
130,3.13335
131,3.13335
132,3.13335
133,3.13335
134,3.13335
135,3.13335
136,3.13335
137,3.13335
138,3.13335
139,3.13335
140,3.13335
141,3.13335
142,3.13335
143,3.13335
144,3.13335
145,3.13335
146,3.13335
147,3.13335
148,3.13335
149,3.13335
150,3.13335
151,3.13335
152,3.13335
153,3.13335
154,3.13335
155,3.13335
156,3.13335
157,3.13335
158,3.13335
159,3.13335
160,3.13335
161,3.13335
162,3.13335
163,3.13335
164,3.13335
165,3.13335
166,3.13335
167,3.13335
168,3.13335
169,3.13335
170,3.13335
171,3.13335
172,3.13335
173,3.13335
174,3.13335
175,3.13335
176,3.13335
177,3.13335
178,3.13335
179,3.13335
180,3.13335
181,3.13335
182,3.13335
183,3.13335
184,3.13335
185,3.13335
186,3.13335
187,3.13335
188,3.13335
189,3.13335
190,3.13335
191,3.13335
192,3.13335
193,3.13335
194,3.13335
195,3.13335
196,3.13335
197,3.13335
198,3.13335
199,3.13335
200,3.13335
201,3.13335
202,3.13335
203,3.13335
204,3.13335
205,3.13335
206,3.13335
207,3.13335
208,3.13335
209,3.13335
210,3.13335
211,3.13335
212,3.13335
213,3.13335
214,3.13335
215,3.13335
216,3.13335
217,3.13335
218,3.13335
219,3.13335
220,3.13335
221,3.13335
222,3.13335
223,3.13335
224,3.13335
225,3.13335
226,3.13335
227,3.13335
228,3.13335
229,3.13335
230,3.13335
231,3.13335
